10 WATERTOWN CIR H	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR I	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WATERTOWN CIR J	VERIFY - NO QUAD MATCH (Birmingham)	447
10 WEST LAKESHORE DR	HOMEWOOD_FD	469
10 WEST MONTCREST DR	MOUNTAIN_BROOK_FD	465
10 WESTCHESTER CT 1	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 10	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 2	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 3	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 4	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 5	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 6	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 7	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 8	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WESTCHESTER CT 9	VERIFY - NO QUAD MATCH (Birmingham)	446
10 WINTHROP AVE	MOUNTAIN_BROOK_FD	465
10 WOODCREST DR	1803	415
10 WOODHILL RD	MOUNTAIN_BROOK_FD	465
10 WOODMONT CIR	HOMEWOOD_FD	469
10 WOODWARD ESTS	LIPSCOMB_FD	490
100 10TH AVE N	1411	469
100 10TH AVE SW	2106	469
100 10TH AVE W	1407	469
100 10TH CT N	1411	469
100 10TH CT W	1407	469
100 11TH AVE SW	2106	469
100 11TH CT N	1411	417
100 11TH CT W	1407	417
100 11TH ST	PLEASANT_GROVE_FD	435|492
100 12TH AVE N	1411	417
100 12TH ST	CPFD_11 BIRM	435
100 12TH ST SW	2006	469
100 13TH CT NE	VERIFY - NO QUAD MATCH (Birmingham)	436
100 14TH AVE NE	CPFD_2	436
100 14TH AVE NE A	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE B	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE C	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE D	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE E	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE F	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE G	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE H	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE I	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NE J	VERIFY - NO QUAD MATCH (Center Point)	436
100 14TH AVE NW	CPFD_1	441
100 14TH CT NW	CPFD_1	441
100 14TH CT W	1402	417
100 14TH ST N	BESSEMER_FD	487
100 14TH ST N 102	VERIFY - NO QUAD MATCH (Bessemer)	487
100 14TH ST S	VERIFY - NO QUAD MATCH (Bessemer)	487
100 14TH ST S U1	VERIFY - NO QUAD MATCH (Bessemer)	487
100 15TH AVE W	1402	417
100 15TH CT N	0608	417
100 15TH CT NW	CPFD_1	436
100 15TH ST N	BESSEMER_FD	490
100 16TH AVE N	0608	417
100 16TH AVE W	1402	417
100 16TH COURT CIR NE	CPFD_2	436
100 16TH PL SW	2005	469
100 16TH ST N	BESSEMER_FD	490
100 18TH ST N	BESSEMER_FD	490
100 18TH ST S	0209	469
100 18TH ST S 105	VERIFY - NO QUAD MATCH (Birmingham)	469
100 18TH ST S 107	VERIFY - NO QUAD MATCH (Birmingham)	469
100 18TH ST S 109	VERIFY - NO QUAD MATCH (Birmingham)	469
100 18TH ST S 111	VERIFY - NO QUAD MATCH (Birmingham)	469
100 18TH ST SW	2004	469
100 19TH AVE NW	CPFD_1	436
100 19TH ST N	VERIFY: 0601 | IRONDALE_FD	447|469
